Date,Pret_SP,Volum_SP,Pret_ADBE,Volum_APPL,Pret_GOOGL
2/28/2022,4373.94,6071370000,467.68,3302300,135.06
3/1/2022,4306.26,5846230000,466.68,3352800,134.06
3/2/2022,4386.54,5337870000,471.18,2948500,134.57
3/3/2022,4363.49,5039890000,459.08,2906300,133.90
3/4/2022,4328.87,5797380000,452.13,2751600,131.91
3/7/2022,4201.09,6940470000,437.97,3676100,126.38
3/8/2022,4170.7,7243120000,431.53,3734800,127.10
3/9/2022,4277.88,5662670000,450.87,2905700,133.42
3/10/2022,4259.52,4980830000,438.95,2722300,132.43
3/11/2022,4204.31,4938640000,416.38,4434500,129.87
3/14/2022,4173.11,5574920000,411.5,3731400,125.95
3/15/2022,4262.45,5392470000,421.66,3201700,129.20
3/16/2022,4357.86,6309750000,442.36,4141200,133.28
3/17/2022,4411.67,4985090000,444.36,3556700,133.84
3/18/2022,4463.12,8278430000,453.33,5898100,136.13
3/21/2022,4461.18,4869820000,453.59,3704200,136.10
3/22/2022,4511.61,4754840000,466.45,5377000,139.87
3/23/2022,4456.24,4550670000,422.9,13979800,138.28
3/24/2022,4520.16,4131390000,432.14,5544300,141.57
3/25/2022,4543.06,4305020000,431.62,3283600,141.67
3/28/2022,4575.52,4312260000,450.01,4472600,141.46
3/29/2022,4631.6,5085910000,466.33,4323800,142.51
3/30/2022,4602.45,4385570000,460.06,3889200,141.94
3/31/2022,4530.41,4823020000,455.62,4141300,139.07
4/1/2022,4545.86,4562940000,458.19,2718400,140.15
4/4/2022,4582.64,4547350000,468.81,2974500,142.97
4/5/2022,4525.12,4800620000,458.58,2481900,140.59
4/6/2022,4481.15,4986830000,444.33,3824900,136.55
4/7/2022,4500.21,4821490000,452.72,2757800,135.89
4/8/2022,4488.28,4083200000,445.34,2260700,133.29
4/11/2022,4412.53,4266290000,434.44,2932100,128.82
4/12/2022,4397.45,4152090000,426.77,2199000,127.71
4/13/2022,4446.59,3828150000,431.67,3078900,129.89
4/14/2022,4392.59,4083090000,420.44,2597000,126.73
4/18/2022,4391.69,3910490000,425.47,2594700,127.68
4/19/2022,4462.21,4108120000,436.4,1962700,130.01
4/20/2022,4459.45,4290450000,428.11,2094400,128.04
4/21/2022,4393.66,4636890000,417.48,2390100,124.81
4/22/2022,4271.78,4651940000,408.67,3198800,119.64
4/25/2022,4296.12,5240040000,413.95,3368800,123.07
4/26/2022,4175.2,4689970000,399.12,2820100,118.65
4/27/2022,4183.96,4769680000,397.9,3080700,114.29
4/28/2022,4287.5,4854180000,410.53,2593900,118.52
4/29/2022,4131.93,5084030000,395.95,3033200,114.11
5/2/2022,4155.38,5163790000,407.29,3010000,116.58
5/3/2022,4175.48,4582050000,407.58,2196100,117.33
5/4/2022,4300.17,5136360000,423.35,3330400,122.26
5/5/2022,4146.87,5077030000,400.51,3507700,116.51
5/6/2022,4123.34,5116940000,391.01,3522200,115.75
5/9/2022,3991.24,5954520000,376.91,4324900,112.51
5/10/2022,4001.05,5885820000,393.03,5334400,114.39
5/11/2022,3935.18,5816140000,379.33,3822000,113.60
5/12/2022,3930.08,6286450000,388.49,4048200,112.84
5/13/2022,4023.89,5183340000,405.45,3379300,116.05
5/16/2022,4008.01,4415030000,402.86,2645200,114.45
5/17/2022,4088.85,4841410000,409.65,2614700,116.47
5/18/2022,3923.68,5103220000,397.88,2915900,111.90
5/19/2022,3900.79,5113550000,394.38,2797200,110.38
5/20/2022,3901.36,5130730000,399.09,3432400,108.91
5/23/2022,3973.75,4420030000,406.76,2337500,111.49
5/24/2022,3941.48,4923190000,398.41,2630800,105.97
5/25/2022,3978.73,4802560000,402.5,2726700,105.81
5/26/2022,4057.84,4709970000,408.6,2419500,107.79
5/27/2022,4158.24,4375620000,428.22,3560400,112.32
5/31/2022,4132.15,6822640000,416.48,7944200,113.76
6/1/2022,4101.23,4531800000,418.16,3409900,113.89
6/2/2022,4176.82,4405790000,441.28,3415700,117.62
6/3/2022,4108.54,3711110000,429.76,2355300,114.54
6/6/2022,4121.43,4332700000,429.46,1563800,116.82
6/7/2022,4160.68,4248210000,433.42,1611200,117.15
6/8/2022,4115.77,4159470000,428.84,1790100,117.19
6/9/2022,4017.82,4134170000,426.42,2572400,114.84
6/10/2022,3900.86,4889640000,393.84,4406100,111.16
6/13/2022,3749.63,5636890000,371.65,4724800,106.39
6/14/2022,3735.48,5153890000,370.82,3197200,106.72
6/15/2022,3789.99,5530480000,376.92,3664500,109.76
6/16/2022,3666.77,5644930000,365.08,5775300,106.03
6/17/2022,3674.84,8520740000,360.79,9475100,107.14
6/21/2022,3764.79,5292260000,362.99,5343500,111.54
6/22/2022,3759.89,5058990000,365.33,3168200,111.49
6/23/2022,3795.73,5098640000,376.64,2534300,112.24
6/24/2022,3911.74,8120260000,387.72,3305300,117.97
6/27/2022,3900.11,4325310000,381.07,2244600,115.83
6/28/2022,3821.55,4270120000,365.63,2654500,112.01
6/29/2022,3818.83,4211240000,368.5,2027900,111.70
6/30/2022,3785.38,4840070000,366.06,2595500,108.96
7/1/2022,3825.33,4046950000,368.48,2471600,108.74
7/5/2022,3831.39,5076590000,376.49,3120500,113.26
7/6/2022,3845.08,4417720000,382.83,2284600,114.57
7/7/2022,3902.62,4057770000,390.89,2368500,118.78
7/8/2022,3899.38,3521620000,389.44,1611200,119.35
7/11/2022,3854.43,3423480000,384.16,1832200,115.68
7/12/2022,3818.8,3817210000,375.54,2639600,114.02
7/13/2022,3801.78,4109390000,371.94,1994000,111.35
7/14/2022,3790.38,4199690000,372.96,2098400,110.37
7/15/2022,3863.16,4143800000,379.86,2488300,111.78
7/18/2022,3830.85,4046870000,375.23,1866400,109.03
7/19/2022,3936.69,4041070000,387.83,1977600,113.81
7/20/2022,3959.9,4185300000,401.49,2746800,113.90
7/21/2022,3998.95,4132790000,408.91,2009900,114.34
7/22/2022,3961.63,3979240000,401.9,2413200,107.90
7/25/2022,3966.84,3568340000,391.96,2340500,107.51
7/26/2022,3921.05,3778950000,379.26,2368500,105.02
7/27/2022,4023.61,4112180000,392.78,2678000,113.06
7/28/2022,4072.43,4413000000,403.5,2421700,114.22
7/29/2022,4130.29,4616360000,410.12,2669800,116.32
8/1/2022,4118.63,4202810000,411.09,1910000,114.86
8/2/2022,4091.19,4727710000,409.96,2165500,115.13
8/3/2022,4155.17,4351760000,424.54,2403500,118.08
8/4/2022,4151.94,4283320000,430.59,2745600,118.19
8/5/2022,4145.19,4085940000,433.43,2481400,117.47
8/8/2022,4140.06,4221090000,434.34,2202000,117.30
8/9/2022,4122.47,3913090000,426.57,1977300,116.63
8/10/2022,4210.24,4546010000,438.4,2634400,119.70
8/11/2022,4207.27,4630200000,434.89,1756600,118.84
8/12/2022,4280.15,3788010000,445.67,2150400,121.68
8/15/2022,4297.14,3696830000,451.02,2503400,122.08
8/16/2022,4305.2,4329820000,447.56,2139500,121.70
8/17/2022,4274.04,3885030000,437.82,1894400,119.55
8/18/2022,4283.74,3340330000,439.03,1402300,120.17
8/19/2022,4228.48,3761340000,425.06,2007700,117.21
8/22/2022,4137.99,3907430000,411.35,2074600,114.24
8/23/2022,4128.73,3823520000,410.41,1392200,113.86
8/24/2022,4140.77,3583630000,405.65,1883900,113.69
8/25/2022,4199.12,3566870000,403.93,3062400,116.65
8/26/2022,4057.66,3832750000,381.02,3600100,110.34
8/29/2022,4030.61,3396510000,375.26,2410300,109.42
8/30/2022,3986.16,3835860000,375.07,1835000,108.94
8/31/2022,3955,4542490000,373.44,3193900,108.22
9/1/2022,3966.85,4152250000,370.53,2574400,109.74
9/2/2022,3924.26,3665850000,368.14,2450500,107.85
9/6/2022,3908.19,4127340000,368.3,2564400,106.81
9/7/2022,3979.87,3890320000,379.72,2385500,109.45
9/8/2022,4006.18,3966850000,383.63,2276800,108.38
9/9/2022,4067.36,3901940000,394.78,2998900,110.65
9/12/2022,4110.41,3814200000,396.36,2854800,110.86
9/13/2022,3932.69,4224550000,368.39,4175100,104.32
9/14/2022,3946.01,4293240000,371.52,3004400,105.00
9/15/2022,3901.35,4441830000,309.13,27840200,102.91
9/16/2022,3873.33,7954650000,299.5,14948100,102.80
9/19/2022,3899.89,3766850000,296.06,6593400,103.07
9/20/2022,3855.93,4058050000,291.06,6548800,101.14
9/21/2022,3789.93,4078330000,286.3,4913100,99.28
9/22/2022,3757.99,4284600000,287.06,5657600,100.14
9/23/2022,3693.23,5144270000,284.56,4739300,98.74
9/26/2022,3655.04,4886140000,276.96,6746200,98.17
9/27/2022,3647.29,4577740000,277.57,6390900,97.50
9/28/2022,3719.04,4684850000,281.4,4985100,100.05
9/29/2022,3640.47,4681810000,278.25,5155300,97.42
9/30/2022,3585.62,5645360000,275.2,4578800,95.65
10/3/2022,3678.43,4806680000,285.24,3738100,98.64
10/4/2022,3790.93,5146580000,294.97,4509200,101.64
10/5/2022,3783.28,4293180000,297.38,3469600,101.43
10/6/2022,3744.52,4252100000,298.41,4884000,101.42
10/7/2022,3639.66,4449660000,288.77,3495900,98.68
10/10/2022,3612.39,3834320000,285.72,2906300,97.86
10/11/2022,3588.84,4759030000,284.83,3209800,97.18
10/12/2022,3577.03,4006830000,286.15,3044100,97.56
10/13/2022,3669.91,5021680000,294.74,4737200,99.06
10/14/2022,3583.07,4243030000,287.94,3563300,96.56
10/17/2022,3677.95,4352780000,293.5,4600600,99.97
10/18/2022,3719.98,4483740000,292.98,5472000,100.77
10/19/2022,3695.16,4223800000,299.83,5529100,99.63
10/20/2022,3665.78,4496620000,302.38,3621600,99.97
10/21/2022,3752.75,5078020000,306.37,3659300,101.13
10/24/2022,3797.34,4747930000,316.22,4817400,102.52
10/25/2022,3859.11,4843120000,323.79,3814600,104.48
10/26/2022,3830.6,4817310000,320.48,4207700,94.93
10/27/2022,3807.3,4687320000,318.65,2870200,92.22
10/28/2022,3901.06,4459410000,325.68,3008400,96.29
10/31/2022,3871.98,4820620000,318.5,3253200,94.51
11/1/2022,3856.1,4481210000,316.02,2467700,90.47
11/2/2022,3759.69,4899000000,301.22,3480000,86.97
11/3/2022,3719.89,4625290000,285.93,4897100,83.43
11/4/2022,3770.55,5400180000,285.75,5738300,86.58
11/7/2022,3806.8,4341620000,299.54,3980700,88.49
11/8/2022,3828.11,4607640000,302.17,4230600,88.90
11/9/2022,3748.57,4645010000,298.87,2778200,87.32
11/10/2022,3956.37,5781260000,329.95,5502900,93.94
11/11/2022,3992.93,5593310000,341.15,4110100,96.41
11/14/2022,3957.25,4561930000,340.37,3464500,95.70
11/15/2022,3991.73,5015310000,345.96,2948600,98.44
11/16/2022,3958.79,4165320000,338.41,2123200,98.85
11/17/2022,3946.56,4051780000,337.83,2740400,98.36
11/18/2022,3965.34,4037360000,330.86,3421700,97.43
11/21/2022,3949.94,3850690000,321.49,3219900,95.60
11/22/2022,4003.58,3887990000,330.88,2573800,97.05
11/23/2022,4027.26,3279720000,335.78,2240800,98.46
11/25/2022,4026.12,1706460000,334.3,1197800,97.46
11/28/2022,3963.94,3615430000,328.97,2314800,96.05
11/29/2022,3957.63,3546040000,326.78,2392600,95.19
11/30/2022,4080.11,6579360000,344.93,4979800,100.99
12/1/2022,4076.57,4527130000,344.11,3365200,100.99
12/2/2022,4071.7,4012620000,341.53,2741800,100.44
12/5/2022,3998.84,4280820000,334.09,2542300,99.48
12/6/2022,3941.26,4368380000,331.15,2182200,96.98
12/7/2022,3933.92,4118050000,326.68,2055900,94.94
12/8/2022,3963.51,4006900000,332.58,2065800,93.71
12/9/2022,3934.38,3888260000,330.64,1969200,92.83
12/12/2022,3990.56,3904130000,338.17,2914700,93.31
12/13/2022,4019.65,5079360000,342.46,3428000,95.63
12/14/2022,3995.32,4472340000,339.92,3236500,95.07
12/15/2022,3895.75,4493900000,328.71,5498700,90.86
12/16/2022,3852.36,7493660000,338.54,11940700,90.26
12/19/2022,3817.66,3969610000,328.76,4086300,88.44
12/20/2022,3821.62,3985370000,338.22,3873600,89.02
12/21/2022,3878.44,3775200000,341.38,2583000,89.58
12/22/2022,3822.39,3956950000,336.52,2319300,87.76
12/23/2022,3844.82,2819280000,338.45,1629800,89.23
12/27/2022,3829.25,3030300000,335.09,1464300,87.39
12/28/2022,3783.22,3083520000,328.33,1672100,86.02
12/29/2022,3849.28,3003680000,337.58,1793100,88.45
12/30/2022,3839.5,2979870000,336.53,1740900,88.23
1/3/2023,3824.14,3959140000,336.92,2229100,89.12
1/4/2023,3852.97,4414080000,341.41,2186800,88.08
1/5/2023,3808.1,3893450000,328.44,2081600,86.20
1/6/2023,3895.08,3923560000,332.75,2216600,87.34
1/9/2023,3892.09,4311770000,341.98,3133800,88.02
1/10/2023,3919.25,3851030000,338.7,1670200,88.42
1/11/2023,3969.61,4303360000,342.93,2344400,91.52
1/12/2023,3983.17,4440260000,344.54,2121800,91.13
1/13/2023,3999.09,3939700000,344.38,2581900,92.12
1/17/2023,3990.97,4235560000,344.38,2512700,91.29
1/18/2023,3928.86,4298710000,341.31,2079800,91.12
1/19/2023,3898.85,3991500000,342.53,2467000,93.05
1/20/2023,3972.61,4013360000,356.38,3149400,98.02
1/23/2023,4019.81,3945210000,364.98,3187100,99.79
1/24/2023,4016.95,3320430000,361.32,2466400,97.70
1/25/2023,4016.22,3724020000,358.17,2239100,95.22
1/26/2023,4060.43,3809590000,365.82,2350500,97.52
1/27/2023,4070.56,3907760000,370.71,2615600,99.37
1/30/2023,4017.77,3802000000,363.42,2663600,96.94
1/31/2023,4076.6,4679320000,370.34,2572400,98.84
2/1/2023,4119.21,4856930000,383.92,3362000,100.43
2/2/2023,4179.76,5624360000,392.23,4020000,107.74
2/3/2023,4136.48,4694510000,379.33,2695400,104.78
2/6/2023,4111.08,4114240000,375.23,2369600,102.90
2/7/2023,4164,4355860000,383.82,2476200,107.64
2/8/2023,4117.86,4029820000,378.36,2668100,99.37
2/9/2023,4081.5,4270200000,375.81,2265200,95.01
2/10/2023,4090.46,3891520000,370.99,1846300,94.57
2/13/2023,4137.29,3448620000,375,1877300,94.61
2/14/2023,4136.13,3929200000,377.9,2479700,94.68
2/15/2023,4147.6,4075980000,375.94,2088200,96.94
2/16/2023,4090.41,4143660000,365.16,2917000,95.51
2/17/2023,4079.09,4045480000,356.85,2985700,94.35
2/21/2023,3997.34,4121590000,346.7,3002700,91.79
2/22/2023,3991.05,4079320000,348.72,2599300,91.65
2/23/2023,4012.32,3952940000,347.02,3154500,90.89
2/24/2023,3970.04,3877700000,320.54,8444500,89.13
